Sylwia Zaniewicz, sylwia.zaniewicz@student.uwm.edu.pl
Mieszko Wiciak, mieszko.wiciak@student.uwm.edu.pl
Stefan Ludwisiak, stefan.ludwisiak@student.uwm.edu.pl
Alan Pasiut, alan.pasiut@student.uwm.edu.pl
Wojciech Buczko, wojciech.buczko@student.uwm.edu.pl
Tola Strzępek, tola.strzepek@student.uwm.edu.pl
Gaja Banek, gaja.banek@student.uwm.edu.pl
Tobiasz Panasewicz, tobiasz.panasewicz@student.uwm.edu.pl
Eliza Idzi, eliza.idzi@student.uwm.edu.pl
Roksana Supeł, roksana.supel@student.uwm.edu.pl
Bartek Szymajda, bartek.szymajda@student.uwm.edu.pl
Róża Laskus, roza.laskus@student.uwm.edu.pl
Radosław Wyciszkiewicz, radoslaw.wyciszkiewicz@student.uwm.edu.pl
Paweł Łacina, pawel.lacina@student.uwm.edu.pl
Aurelia Macioł, aurelia.maciol@student.uwm.edu.pl
Ksawery Fechner, ksawery.fechner@student.uwm.edu.pl
Aleks Naglik, aleks.naglik@student.uwm.edu.pl
Kazimierz Goik, kazimierz.goik@student.uwm.edu.pl
Łukasz Merchel, lukasz.merchel@student.uwm.edu.pl
Dawid Ksel, dawid.ksel@student.uwm.edu.pl
Olgierd Broniek, olgierd.broniek@student.uwm.edu.pl
Łukasz Jaśko, lukasz.jasko@student.uwm.edu.pl
Tymon Imiołczyk, tymon.imiolczyk@student.uwm.edu.pl
Patryk Łokaj, patryk.lokaj@student.uwm.edu.pl
Roksana Lewek, roksana.lewek@student.uwm.edu.pl
Kamila Byra, kamila.byra@student.uwm.edu.pl
Dagmara Miętus, dagmara.mietus@student.uwm.edu.pl
Emil Kurzak, emil.kurzak@student.uwm.edu.pl
Apolonia Sierpień, apolonia.sierpien@student.uwm.edu.pl
Jędrzej Szymula, jedrzej.szymula@student.uwm.edu.pl
